president,startdate,enddate,,approve,disapprove,unsure
Barack Obama,2/24/13,2/26/13,,53,40,7
Barack Obama,2/23/13,2/25/13,,51,42,7
Barack Obama,2/21/13,2/24/13,,51,42,7
Barack Obama,2/20/13,2/23/13,,50,44,6
Barack Obama,2/19/13,2/22/13,,52,42,6
Barack Obama,2/18/13,2/20/13,,50,42,8
Barack Obama,2/17/13,2/19/13,,51,42,7
Barack Obama,2/16/13,2/18/13,,51,43,6
Barack Obama,2/15/13,2/17/13,,52,42,6
Barack Obama,2/14/13,2/16/13,,50,44,6
Barack Obama,2/13/13,2/15/13,,50,44,6
Barack Obama,2/12/13,2/14/13,,50,44,6
Barack Obama,2/11/13,2/13/13,,51,42,7
Barack Obama,2/10/13,2/12/13,,52,42,6
Barack Obama,2/9/13,2/11/13,,52,42,6
Barack Obama,2/8/13,2/10/13,,52,43,5
Barack Obama,2/7/13,2/9/13,,52,43,5
Barack Obama,2/6/13,2/8/13,,52,43,5
Barack Obama,2/5/13,2/7/13,,52,43,5
Barack Obama,2/4/13,2/6/13,,52,41,7
Barack Obama,2/2/13,2/5/13,,52,41,7
Barack Obama,2/1/13,2/4/13,,52,42,6
Barack Obama,1/31/13,2/2/13,,52,43,5
Barack Obama,1/30/13,2/1/13,,54,42,4
Barack Obama,1/29/13,1/31/13,,53,42,5
Barack Obama,1/28/13,1/30/13,,53,41,6
Barack Obama,1/27/13,1/29/13,,51,43,6
Barack Obama,1/26/13,1/28/13,,52,43,5
Barack Obama,1/25/13,1/27/13,,52,43,5
Barack Obama,1/24/13,1/26/13,,52,41,7
Barack Obama,1/23/13,1/25/13,,51,42,7
Barack Obama,1/22/13,1/24/13,,52,42,6
Barack Obama,1/21/13,1/23/13,,52,43,5
Barack Obama,1/20/13,1/22/13,,53,42,5
Barack Obama,1/19/13,1/21/13,,51,43,6
Barack Obama,1/18/13,1/20/13,,50,43,7
Barack Obama,1/17/13,1/19/13,,51,43,6
Barack Obama,1/16/13,1/18/13,,48,45,7
Barack Obama,1/15/13,1/17/13,,49,44,7
Barack Obama,1/14/13,1/16/13,,50,43,7
Barack Obama,1/13/13,1/15/13,,53,41,6
Barack Obama,1/12/13,1/14/13,,52,40,8
Barack Obama,1/11/13,1/13/13,,52,41,7
Barack Obama,1/10/13,1/12/13,,51,42,7
Barack Obama,1/9/13,1/11/13,,53,42,5
Barack Obama,1/8/13,1/10/13,,54,41,5
Barack Obama,1/7/13,1/9/13,,56,40,4
Barack Obama,1/6/13,1/8/13,,56,39,5
Barack Obama,1/5/13,1/7/13,,54,39,7
Barack Obama,1/4/13,1/6/13,,54,39,7
Barack Obama,1/3/13,1/5/13,,52,41,7
Barack Obama,12/30/12,1/4/13,,52,42,6
Barack Obama,12/29/12,1/3/13,,50,43,7
Barack Obama,12/28/12,12/30/12,,53,41,6
Barack Obama,12/27/12,12/29/12,,53,42,5
Barack Obama,12/26/12,12/28/12,,54,40,6
Barack Obama,12/23/12,12/27/12,,53,41,6
Barack Obama,12/22/12,12/26/12,,56,39,5
Barack Obama,12/21/12,12/23/12,,57,37,6
Barack Obama,12/19/12,12/22/12,,57,37,6
Barack Obama,12/18/12,12/21/12,,58,36,6
Barack Obama,12/17/12,12/19/12,,56,37,7
Barack Obama,12/16/12,12/18/12,,54,38,8
Barack Obama,12/15/12,12/17/12,,52,40,8
Barack Obama,12/14/12,12/16/12,,50,42,8
Barack Obama,12/13/12,12/15/12,,50,43,7
Barack Obama,12/12/12,12/14/12,,50,43,7
Barack Obama,12/11/12,12/13/12,,51,42,7
Barack Obama,12/10/12,12/12/12,,54,38,8
Barack Obama,12/9/12,12/11/12,,54,38,8
Barack Obama,12/8/12,12/10/12,,53,40,7
Barack Obama,12/7/12,12/9/12,,51,43,6
Barack Obama,12/6/12,12/8/12,,50,44,6
Barack Obama,12/5/12,12/7/12,,50,43,7
Barack Obama,12/4/12,12/6/12,,49,44,7
Barack Obama,12/3/12,12/5/12,,50,44,6
Barack Obama,12/2/12,12/4/12,,52,43,5
Barack Obama,12/1/12,12/3/12,,53,41,6
Barack Obama,11/30/12,12/2/12,,54,40,6
Barack Obama,11/29/12,12/1/12,,52,41,7
Barack Obama,11/28/12,11/30/12,,50,43,7
Barack Obama,11/27/12,11/29/12,,51,43,6
Barack Obama,11/26/12,11/28/12,,49,45,6
Barack Obama,11/25/12,11/27/12,,51,42,7
Barack Obama,11/24/12,11/26/12,,51,41,8
Barack Obama,11/23/12,11/25/12,,53,39,8
Barack Obama,11/21/12,11/24/12,,51,40,9
Barack Obama,11/20/12,11/23/12,,50,42,8
Barack Obama,11/19/12,11/21/12,,50,42,8
Barack Obama,11/18/12,11/20/12,,51,43,6
Barack Obama,11/17/12,11/19/12,,53,42,5
Barack Obama,11/16/12,11/18/12,,52,41,7
Barack Obama,11/15/12,11/17/12,,53,40,7
Barack Obama,11/14/12,11/16/12,,52,41,7
